LOGGING STARTED AT: 01-06-2021 16:05:11

01-06-2021 16:05:11 :    Starting game...
01-06-2021 16:05:12 :    Created display...
01-06-2021 16:05:12 :    Attached vertex shader to shader program...
01-06-2021 16:05:12 :    Attached fragment shader to shader program...
01-06-2021 16:05:12 :    Bound attribute position to VAO index 0...
01-06-2021 16:05:12 :    Bound attribute textureCoords to VAO index 1...
01-06-2021 16:05:12 :    Bound all shader attributes to shader program...
01-06-2021 16:05:12 :    Linked and validated shader program...
01-06-2021 16:05:12 :    Retrieved transformationMatrix location : 2
01-06-2021 16:05:12 :    Retrieved projectionMatrix location : 0
01-06-2021 16:05:12 :    Retrieved viewMatrix location : 3
01-06-2021 16:05:12 :    Retrieved skyColour location : 1
01-06-2021 16:05:12 :    Finished retrieving uniform locations...
01-06-2021 16:05:12 :    Loaded asset src/shaders/vertexShader.glsl...
01-06-2021 16:05:12 :    Loaded asset src/shaders/fragmentShader.glsl...
01-06-2021 16:05:12 :    Attached vertex shader to shader program...
01-06-2021 16:05:12 :    Attached fragment shader to shader program...
01-06-2021 16:05:12 :    Bound attribute position to VAO index 0...
01-06-2021 16:05:12 :    Bound attribute textureCoords to VAO index 1...
01-06-2021 16:05:12 :    Bound all shader attributes to shader program...
01-06-2021 16:05:12 :    Linked and validated shader program...
01-06-2021 16:05:12 :    Retrieved transformationMatrix location : 2
01-06-2021 16:05:12 :    Retrieved projectionMatrix location : 0
01-06-2021 16:05:12 :    Retrieved viewMatrix location : 3
01-06-2021 16:05:12 :    Retrieved skyColour location : 1
01-06-2021 16:05:12 :    Finished retrieving uniform locations...
01-06-2021 16:05:12 :    Loaded asset src/shaders/vertexShader.glsl...
01-06-2021 16:05:12 :    Loaded asset src/shaders/fragmentShader.glsl...
01-06-2021 16:05:12 :    Created MasterRenderer and Loader...
01-06-2021 16:05:12 :    Created ModelTexture using asset res/textures/blocks/pack ...
01-06-2021 16:05:12 :    Terrain generating thread starting...
01-06-2021 16:05:12 :    Entering main game loop...
01-06-2021 16:05:12 :    Tree generating thread starting...
01-06-2021 16:05:35 :    Exited game loop, closing display and exiting game...
01-06-2021 16:05:35 :    Detached vertex shader from shader program...
01-06-2021 16:05:35 :    Detached fragment shader from shader program...
01-06-2021 16:05:35 :    Deleted vertex shader...
01-06-2021 16:05:35 :    Deleted fragment shader...
01-06-2021 16:05:35 :    Deleted shader program
01-06-2021 16:05:35 :    Detached vertex shader from shader program...
01-06-2021 16:05:35 :    Detached fragment shader from shader program...
01-06-2021 16:05:35 :    Deleted vertex shader...
01-06-2021 16:05:35 :    Deleted fragment shader...
01-06-2021 16:05:35 :    Deleted shader program
01-06-2021 16:05:35 :    Average FPS this game session: 60
01-06-2021 16:05:35 :    Average delta time (time taken to render) this game session: 0.01665204
01-06-2021 16:05:35 :    LOGGING FINISHED
