LOGGING STARTED AT: 16-05-2021 18:26:27

16-05-2021 18:26:27 :    Starting game...
16-05-2021 18:26:28 :    Creating display...
16-05-2021 18:26:28 :    Attached vertex shader to shader program...
16-05-2021 18:26:28 :    Attached fragment shader to shader program...
16-05-2021 18:26:28 :    Bound attribute position to VAO index 0...
16-05-2021 18:26:28 :    Bound attribute textureCoords to VAO index 1...
16-05-2021 18:26:28 :    Bound all shader attributes to shader program...
16-05-2021 18:26:28 :    Linked and validated shader program...
16-05-2021 18:26:28 :    Accessing uniform variable transformationMatrix...
16-05-2021 18:26:28 :    Retrieved transformationMatrix location : 1
16-05-2021 18:26:28 :    Accessing uniform variable projectionMatrix...
16-05-2021 18:26:28 :    Retrieved projectionMatrix location : 0
16-05-2021 18:26:28 :    Accessing uniform variable viewMatrix...
16-05-2021 18:26:28 :    Retrieved projectionMatrix location : 2
16-05-2021 18:26:28 :    Finished retrieving uniform locations...
16-05-2021 18:26:28 :    Loaded asset src/shaders/vertexShader.glsl...
16-05-2021 18:26:28 :    Loaded asset src/shaders/fragmentShader.glsl...
16-05-2021 18:26:28 :    Created MasterRenderer, Loader and StaticShader
16-05-2021 18:26:28 :    Strong data in attribute list 0...
16-05-2021 18:26:28 :    Storing data in float buffer...
16-05-2021 18:26:28 :    Strong data in attribute list 1...
16-05-2021 18:26:28 :    Storing data in float buffer...
16-05-2021 18:26:28 :    Binding indices buffer...
16-05-2021 18:26:28 :    Storing data in int buffer...
16-05-2021 18:26:28 :    Created a rawmodel in VAO 1   with vertex count 36
16-05-2021 18:26:28 :    Loaded asset res/textures/dirtTex.PNG and bound it to a model...
16-05-2021 18:26:28 :    Created Textured model using rawmodel in VAO 1
16-05-2021 18:26:28 :    Created new entity at position:  X: 0.0  Y: 0.0  Z: -1.0
16-05-2021 18:26:28 :    Entering game loop...
16-05-2021 18:26:35 :    Exited game loop, closing display and exiting game...
16-05-2021 18:26:35 :    Deleted VAO 1...
16-05-2021 18:26:35 :    Deleted VBO 1...
16-05-2021 18:26:35 :    Deleted VBO 2...
16-05-2021 18:26:35 :    Deleted VBO 3...
16-05-2021 18:26:35 :    Deleted texture, ID: 1    File: textures/blocks/dirtTex.PNG ...
16-05-2021 18:26:35 :    Detached vertex shader from shader program...
16-05-2021 18:26:35 :    Detached fragment shader from shader program...
16-05-2021 18:26:35 :    Deleted vertex shader...
16-05-2021 18:26:35 :    Deleted fragment shader...
16-05-2021 18:26:35 :    Deleted shader program
16-05-2021 18:26:35 :    Average FPS this game session: 59
16-05-2021 18:26:35 :    Average delta time (time taken to render) this game session: 47.199547
16-05-2021 18:26:35 :    LOGGING FINISHED
