LOGGING STARTED AT: 02-07-2022 16:00:55

02-07-2022 16:00:55 :    Starting game...
02-07-2022 16:00:56 :    Created display...
02-07-2022 16:00:56 :    Attached vertex shader to shader program...
02-07-2022 16:00:56 :    Attached fragment shader to shader program...
02-07-2022 16:00:56 :    Bound attribute position to VAO index 0...
02-07-2022 16:00:56 :    Bound attribute textureCoords to VAO index 1...
02-07-2022 16:00:56 :    Bound attribute normal to VAO index 2...
02-07-2022 16:00:56 :    Bound all shader attributes to shader program...
02-07-2022 16:00:56 :    Linked and validated shader program...
02-07-2022 16:00:56 :    Retrieved transformationMatrix location : 4
02-07-2022 16:00:56 :    Retrieved projectionMatrix location : 2
02-07-2022 16:00:56 :    Retrieved viewMatrix location : 5
02-07-2022 16:00:56 :    Retrieved lightPosition location : 1
02-07-2022 16:00:56 :    Retrieved lightColour location : 0
02-07-2022 16:00:56 :    Retrieved skyColour location : 3
02-07-2022 16:00:56 :    Finished retrieving uniform locations...
02-07-2022 16:00:56 :    Loaded asset src/shaders/vertexShader.glsl...
02-07-2022 16:00:56 :    Loaded asset src/shaders/fragmentShader.glsl...
02-07-2022 16:00:56 :    Attached vertex shader to shader program...
02-07-2022 16:00:56 :    Attached fragment shader to shader program...
02-07-2022 16:00:56 :    Bound attribute position to VAO index 0...
02-07-2022 16:00:56 :    Bound attribute textureCoords to VAO index 1...
02-07-2022 16:00:56 :    Bound attribute normal to VAO index 2...
02-07-2022 16:00:56 :    Bound all shader attributes to shader program...
02-07-2022 16:00:56 :    Linked and validated shader program...
02-07-2022 16:00:56 :    Retrieved transformationMatrix location : 4
02-07-2022 16:00:56 :    Retrieved projectionMatrix location : 2
02-07-2022 16:00:56 :    Retrieved viewMatrix location : 5
02-07-2022 16:00:56 :    Retrieved lightPosition location : 1
02-07-2022 16:00:56 :    Retrieved lightColour location : 0
02-07-2022 16:00:56 :    Retrieved skyColour location : 3
02-07-2022 16:00:56 :    Finished retrieving uniform locations...
02-07-2022 16:00:56 :    Loaded asset src/shaders/vertexShader.glsl...
02-07-2022 16:00:56 :    Loaded asset src/shaders/fragmentShader.glsl...
02-07-2022 16:00:56 :    Created MasterRenderer and Loader...
02-07-2022 16:00:56 :    Created ModelTexture using asset res/textures/blocks/pack ...
02-07-2022 16:00:56 :    Entering main game loop...
02-07-2022 16:00:56 :    Terrain handling thread starting...
02-07-2022 16:00:57 :    It took 815ms to generate this chunk mesh
02-07-2022 16:00:58 :    It took 670ms to generate this chunk mesh
02-07-2022 16:00:58 :    It took 361ms to generate this chunk mesh
02-07-2022 16:00:59 :    It took 286ms to generate this chunk mesh
02-07-2022 16:00:59 :    It took 337ms to generate this chunk mesh
02-07-2022 16:01:00 :    It took 356ms to generate this chunk mesh
02-07-2022 16:01:00 :    It took 334ms to generate this chunk mesh
02-07-2022 16:01:01 :    It took 568ms to generate this chunk mesh
02-07-2022 16:01:01 :    It took 450ms to generate this chunk mesh
02-07-2022 16:01:02 :    It took 318ms to generate this chunk mesh
02-07-2022 16:01:02 :    It took 350ms to generate this chunk mesh
