LOGGING STARTED AT: 18-05-2021 20:14:04

18-05-2021 20:14:04 :    Starting game...
18-05-2021 20:14:05 :    Creating display...
18-05-2021 20:14:05 :    Attached vertex shader to shader program...
18-05-2021 20:14:05 :    Attached fragment shader to shader program...
18-05-2021 20:14:05 :    Bound attribute position to VAO index 0...
18-05-2021 20:14:05 :    Bound attribute textureCoords to VAO index 1...
18-05-2021 20:14:05 :    Bound all shader attributes to shader program...
18-05-2021 20:14:05 :    Linked and validated shader program...
18-05-2021 20:14:05 :    Accessing uniform variable transformationMatrix...
18-05-2021 20:14:05 :    Retrieved transformationMatrix location : 1
18-05-2021 20:14:05 :    Accessing uniform variable projectionMatrix...
18-05-2021 20:14:05 :    Retrieved projectionMatrix location : 0
18-05-2021 20:14:05 :    Accessing uniform variable viewMatrix...
18-05-2021 20:14:05 :    Retrieved projectionMatrix location : 2
18-05-2021 20:14:05 :    Finished retrieving uniform locations...
18-05-2021 20:14:05 :    Loaded asset src/shaders/vertexShader.glsl...
18-05-2021 20:14:05 :    Loaded asset src/shaders/fragmentShader.glsl...
18-05-2021 20:14:05 :    Attached vertex shader to shader program...
18-05-2021 20:14:05 :    Attached fragment shader to shader program...
18-05-2021 20:14:05 :    Bound attribute position to VAO index 0...
18-05-2021 20:14:05 :    Bound attribute textureCoords to VAO index 1...
18-05-2021 20:14:05 :    Bound all shader attributes to shader program...
18-05-2021 20:14:05 :    Linked and validated shader program...
18-05-2021 20:14:05 :    Accessing uniform variable transformationMatrix...
18-05-2021 20:14:05 :    Retrieved transformationMatrix location : 1
18-05-2021 20:14:05 :    Accessing uniform variable projectionMatrix...
18-05-2021 20:14:05 :    Retrieved projectionMatrix location : 0
18-05-2021 20:14:05 :    Accessing uniform variable viewMatrix...
18-05-2021 20:14:05 :    Retrieved projectionMatrix location : 2
18-05-2021 20:14:05 :    Finished retrieving uniform locations...
18-05-2021 20:14:05 :    Loaded asset src/shaders/vertexShader.glsl...
18-05-2021 20:14:05 :    Loaded asset src/shaders/fragmentShader.glsl...
18-05-2021 20:14:05 :    Created MasterRenderer, Loader and StaticShader
18-05-2021 20:14:05 :    Strong data in attribute list 0...
18-05-2021 20:14:05 :    Storing data in float buffer...
18-05-2021 20:14:05 :    Strong data in attribute list 1...
18-05-2021 20:14:05 :    Storing data in float buffer...
18-05-2021 20:14:05 :    Binding indices buffer...
18-05-2021 20:14:05 :    Storing data in int buffer...
18-05-2021 20:14:05 :    Created a rawmodel in VAO 1   with vertex count 36
18-05-2021 20:14:05 :    Loaded asset res/textures/grass_atlas.PNG and bound it to a model...
18-05-2021 20:14:05 :    Created Textured model using rawmodel in VAO 1
18-05-2021 20:14:05 :    Entering game loop...
18-05-2021 20:14:09 :    Exited game loop, closing display and exiting game...
18-05-2021 20:14:09 :    Deleted VAO 1...
18-05-2021 20:14:09 :    Deleted VBO 1...
18-05-2021 20:14:09 :    Deleted VBO 2...
18-05-2021 20:14:09 :    Deleted VBO 3...
18-05-2021 20:14:09 :    Deleted texture, ID: 1    File: textures/blocks/grass_atlas.PNG ...
18-05-2021 20:14:09 :    Detached vertex shader from shader program...
18-05-2021 20:14:09 :    Detached fragment shader from shader program...
18-05-2021 20:14:09 :    Deleted vertex shader...
18-05-2021 20:14:09 :    Deleted fragment shader...
18-05-2021 20:14:09 :    Deleted shader program
18-05-2021 20:14:09 :    Detached vertex shader from shader program...
18-05-2021 20:14:09 :    Detached fragment shader from shader program...
18-05-2021 20:14:09 :    Deleted vertex shader...
18-05-2021 20:14:09 :    Deleted fragment shader...
18-05-2021 20:14:09 :    Deleted shader program
18-05-2021 20:14:09 :    Average FPS this game session: 56
18-05-2021 20:14:09 :    Average delta time (time taken to render) this game session: 0.018879216
18-05-2021 20:14:09 :    LOGGING FINISHED
